45,93
31,53
30,51
30,52
30,51
30,52
31,52
29,51
30,51
30,51
47,100
31,53
30,52
30,53
30,51
30,54
29,50
30,52
31,53
30,62
48,105
31,54
30,52
31,52
31,53
30,51
30,51
31,52
31,53
29,51
49,110
33,52
34,54
35,55
34,55
33,54
32,52
33,53
32,52
33,53
56,113
34,54
44,65
34,55
34,63
33,54
33,54
35,58
33,55
35,55
55,112
34,54
34,53
34,54
35,55
43,67
34,54
35,57
34,54
34,56
49,105
30,52
30,52
29,50
29,50
31,53
30,52
30,51
31,52
31,53
56,115
33,53
33,53
33,52
34,54
34,53
34,54
45,65
34,54
34,55
55,110
34,53
34,54
33,52
35,54
35,55
34,55
33,53
35,54
35,55
45,105
31,53
37,59
31,53
30,51
31,52
32,54
31,53
30,53
30,51
