0.972716,22996,66,174
0.957275,22517,62,173
0.965529,22434,63,166
0.992299,22887,62,163
0.964581,22900,61,162
0.961046,22912,60,159
0.966395,22646,61,160
0.975215,23161,65,165
0.959504,22954,61,160
0.990612,22710,60,162
0.961442,22853,62,160
0.962169,22737,61,161
0.97278,22297,62,161
0.96631,22980,63,165
0.965922,22734,67,165
0.966398,22568,61,165
0.966619,22698,61,159
0.973747,22402,61,157
0.96789,23320,62,162
0.967515,22855,61,162
0.968816,22552,63,162
0.96397,23672,65,171
0.961372,22609,62,163
0.969443,22541,62,162
0.966552,22846,61,159
0.972618,22463,62,161
0.958337,22312,61,157
0.968194,22768,73,171
0.989354,22820,62,164
0.977575,22389,62,161
0.96142,22735,61,160
0.988605,22636,69,170
0.972417,22386,65,167
0.963047,22463,61,163
0.9671,22954,61,157
0.965121,22291,63,170
0.963999,23048,62,162
0.972597,22997,62,161
0.9662,22736,62,157
0.990887,22412,61,157
0.969484,23220,62,163
0.976244,22699,63,167
0.966419,22878,62,163
0.967408,22535,62,161
0.981146,22439,63,160
0.960708,23008,66,172
0.966712,22938,61,163
0.962889,22535,63,161
0.964478,22883,63,164
0.978332,22498,62,160
0.965044,22498,62,161
0.968996,23168,61,157
0.971454,23315,63,161
0.959489,22541,61,158
0.958616,22723,62,164
0.968711,22526,60,157
0.961639,22810,61,163
0.963112,22294,60,155
0.962779,22598,63,163
0.969857,22611,62,161
0.966947,22546,61,163
0.967685,22650,61,160
0.963931,23148,61,161
0.963061,23862,62,160
0.967754,22949,62,161
0.968051,22434,61,157
0.970032,22855,63,166
0.977148,22976,64,172
0.963636,22738,63,162
0.966013,22352,60,159
0.959728,22900,63,161
0.973479,22924,61,165
0.97,23685,63,166
0.960468,22558,62,158
0.971024,23126,63,162
0.988394,22249,61,157
0.969438,22861,61,160
0.960568,23584,62,163
0.96935,22725,61,160
0.968881,22434,61,155
0.975157,22648,64,167
0.964068,22846,62,165
0.975819,22367,61,157
0.958636,22591,62,161
0.966989,22941,62,165
0.961507,23108,62,162
0.968847,22658,61,162
0.956773,22827,68,169
0.990692,22800,62,165
0.964632,22228,62,161
0.967177,22473,60,158
0.965793,22239,61,159
0.958716,22536,65,165
0.975033,22701,61,160
0.969956,22708,62,166
0.991406,22541,63,159
0.990294,22650,63,163
