46,146
40,109
41,110
41,109
40,108
41,110
44,116
42,110
41,111
41,109
48,145
43,111
42,111
40,109
42,110
42,112
41,110
42,112
43,118
44,118
48,151
42,111
44,112
45,114
43,116
58,146
50,125
43,113
43,113
43,112
49,153
44,120
44,119
43,114
46,121
49,120
42,112
43,114
42,111
44,118
48,148
42,113
41,112
43,111
42,110
40,110
43,111
42,109
42,111
42,111
63,191
52,137
52,137
50,133
52,134
52,134
51,134
53,137
52,133
51,134
48,148
41,110
41,111
42,114
41,115
55,150
41,109
42,111
42,111
41,114
48,147
44,117
44,114
44,115
48,123
43,115
42,112
43,114
43,114
43,114
53,161
46,120
47,122
45,121
46,119
62,137
46,120
46,121
46,120
47,124
48,152
44,116
43,115
43,112
43,114
62,135
43,115
43,114
43,114
44,117
